metric,best_value,combination,E_function,A_function,p_value
Silhouette Score,0.8063635631705562,E_4_A4,E_4,A4,
Davies-Bouldin Score,0.09746800511549183,E_4_A4,E_4,A4,
Calinski-Harabasz Score,1540.9123972085656,E_FD_R_A4,E_FD_R,A4,
