metric,best_value,combination,E_function,A_function,p_value
Silhouette Score,0.7206037170417988,E_FD_R_A4,E_FD_R,A4,
Davies-Bouldin Score,0.35165375684259015,E_FD_R_A4,E_FD_R,A4,
Calinski-Harabasz Score,1951.831599981436,E_FD_R_A4,E_FD_R,A4,
