metric,best_value,combination,E_function,A_function,p_value
Silhouette Score,0.9417680683705263,E_FD_R_A2_p0.1,E_FD_R,A2,0.1
Davies-Bouldin Score,0.1381635599129345,E_FD_R_A4,E_FD_R,A4,
Calinski-Harabasz Score,6133.05051302103,E_FD_R_A4,E_FD_R,A4,
