Rank,Combination,Silhouette_Score,Silhouette_Improvement_%,DB_Score,DB_Improvement_%,CH_Score,CH_Improvement_%,E_Function,A_Function,p_Value
Baseline,Standard_KMeans,0.45994823920518635,0.0,0.8335949464754338,0.0,241.90440170183143,0.0,Euclidean,Mean,
1,E_FD_R_A4,0.5209821467207314,13.269733920715668,0.8544725065599416,-2.504520951426266,398.4264016774444,64.70407271403857,E_FD_R,A4,
2,E_LK_A4,0.4789727786411858,4.136234866095982,4.899230146124547,-487.7231102274837,278.35572144326477,15.06848138561894,E_LK,A4,
3,E_LK_R_A4,0.4526848559640605,-1.5791740509056726,4.68403760707166,-461.9081097931895,244.769984020055,1.1845928796928866,E_LK_R,A4,
4,E_6_A4,0.43873813224004077,-4.61141171054328,4.509612488431849,-440.9836644882718,232.89099355086597,-3.726020728665898,E_6,A4,
5,E_FD_A4,0.3962437624006776,-13.85035779560615,1.0947532532715523,-31.329161471088035,216.8090947970043,-10.374059640204202,E_FD,A4,
6,E_GD_R_A2_p0.1,0.3948909861194566,-14.144472690699269,1.354484464875685,-62.48712526421273,55.06025207042303,-77.23883828360856,E_GD_R,A2,0.1
7,E_LK_A2_p1.0,0.38430682841444574,-16.445635474429203,0.6748437861272635,19.044160598549013,145.51068609384086,-39.8478551567674,E_LK,A2,1.0
8,E_LK_A2_p4.0,0.37772122020995624,-17.877450544722713,0.6615179572349765,20.642758208650967,158.45055486392272,-34.498688841872735,E_LK,A2,4.0
9,E_LK_A2_p0.1,0.37354642716136166,-18.7851163846461,0.6533707555192166,21.620115587100475,142.3099048106728,-41.17101474404656,E_LK,A2,0.1
10,E_4_A2_p0.1,0.34067477260662343,-25.93193242889101,1.2701415859750276,-52.3691561885517,49.69403180020055,-79.4571609897976,E_4,A2,0.1
