Rank,Combination,Silhouette_Score,Silhouette_Improvement_%,DB_Score,DB_Improvement_%,CH_Score,CH_Improvement_%,E_Function,A_Function,p_Value
Baseline,Standard_KMeans,0.5482872649700601,0.0,0.927935062930842,0.0,140.1351833710643,0.0,Euclidean,Mean,
1,E_FD_R_A2_p0.1,0.9417680683705263,71.76544642559821,0.7111673404368011,23.3602254245453,205.6114333532771,46.72363385634433,E_FD_R,A2,0.1
2,E_FD_R_A2_p1.0,0.9311728126606557,69.83301859318281,0.6021152938305866,35.112345908254404,149.83491104846914,6.921693356422066,E_FD_R,A2,1.0
3,E_FD_R_A2_p4.0,0.8896548349788513,62.2607147418301,0.980001586255845,-5.611009369616137,141.1890385752891,0.7520275628671229,E_FD_R,A2,4.0
4,E_FD_R_A3,0.8815257424382612,60.77808090005483,1.29875773904086,-39.96213646015173,101.90906815243208,-27.278028471560344,E_FD_R,A3,
5,E_LK_A2_p0.1,0.8521937239066184,55.428327147659274,0.5697144083077815,38.60406497536976,249.9781021646164,78.38354091470288,E_LK,A2,0.1
6,E_FD_A2_p0.1,0.8512979769162303,55.26495530818439,0.6670347556809183,28.116224687736402,248.2856529604317,77.17581480090942,E_FD,A2,0.1
7,E_FD_A2_p1.0,0.8195874226819215,49.481389600883055,0.7525183848192091,18.903982090900534,224.38228115158978,60.1184483110479,E_FD,A2,1.0
8,E_LK_A2_p1.0,0.8184137722550321,49.267332025251875,0.6328918448856834,31.795675131972885,208.03601360318953,48.4538062453099,E_LK,A2,1.0
9,E_LK_R_A2_p0.1,0.7969929902261436,45.360478191968284,0.9127095941344864,1.640790331628023,242.05523558940263,72.72980972127746,E_LK_R,A2,0.1
10,E_6_A2_p0.1,0.786898285284962,43.51934388407353,0.7699824512557502,17.021946684092907,249.317726876917,77.91229930940895,E_6,A2,0.1
