Rank,Combination,Silhouette_Score,Silhouette_Improvement_%,DB_Score,DB_Improvement_%,CH_Score,CH_Improvement_%,E_Function,A_Function,p_Value
Baseline,Standard_KMeans,0.4909962103863311,0.0,0.8064257487302143,0.0,409.6071377924521,0.0,Euclidean,Mean,
1,E_4_A4,0.8063635631705562,64.23009915617969,0.09746800511549183,87.91357973515063,649.5495286445465,58.57866446010842,E_4,A4,
2,E_GD_R_A4,0.7493735487334999,52.623081987510545,0.12615425399320473,84.35637078902239,620.4836448848148,51.48262509019407,E_GD_R,A4,
3,E_4_A2_p0.1,0.6545194786529581,33.30438500491924,1.3377285283192886,-65.88365766168249,186.82645312451282,-54.388867798691095,E_4,A2,0.1
4,E_4_A2_p4.0,0.6478280978520787,31.941567806062576,0.36235225308659996,55.066879541339766,315.78176749950524,-22.906185375238298,E_4,A2,4.0
5,E_GD_R_A2_p0.1,0.6242354289420343,27.13650650192726,1.3683037526486512,-69.67510707627595,211.54428009317465,-48.35434723299081,E_GD_R,A2,0.1
6,E_3_A4,0.6068097512486019,23.587461249679524,0.19791455474063677,75.45780810542446,519.9693480677512,26.943429470025404,E_3,A4,
7,E_4_A2_p1.0,0.6041931883093485,23.054552260994136,0.7933731621416817,1.6185726471513333,217.4674744741622,-46.908280054349795,E_4,A2,1.0
8,E_GD_R_A2_p4.0,0.5981848636784394,21.830851445425388,0.39156752500208536,51.44406963460162,340.52553281386486,-16.86533231595951,E_GD_R,A2,4.0
9,E_3_A2_p0.1,0.5705481933970011,16.202158250483446,1.4225071495094563,-76.39654385407638,241.8079973813942,-40.96587313282654,E_3,A2,0.1
10,E_GD_R_A2_p1.0,0.5641896782444412,14.90713498593384,0.8238539816104679,-2.161170189282244,243.06824390738572,-40.65820111988664,E_GD_R,A2,1.0
