metric,best_value,combination,E_function,A_function,p_value
Silhouette Score,0.5609115982003696,E_4_A4,E_4,A4,
Davies-Bouldin Score,0.045643944541963875,E_4_A4,E_4,A4,
Calinski-Harabasz Score,791.6830239057322,E_FD_R_A4,E_FD_R,A4,
