dataset,samples,features,clusters,best_silhouette,best_combination,best_E,best_A,best_p,best_db,best_ch,avg_silhouette,avg_db,avg_ch,successful_runs,total_runs
Iris,150,4,3,0.5209821467207314,E_FD_R_A4,E_FD_R,A4,,0.5891727930810137,398.4264016774444,0.2084223529864044,inf,112.01591113449672,56,61
Wine,178,13,3,0.5609115982003696,E_4_A4,E_4,A4,,0.045643944541963875,791.6830239057322,0.15135006201921009,inf,119.89458533738383,53,61
Breast_Cancer,569,30,2,0.7407954945256421,E_FD_R_A2_p0.1,E_FD_R,A2,0.1,0.009003067852369791,1398.6394789525145,0.2387662069529969,inf,606.2964072453226,56,61
Blobs,300,2,4,0.797473988963273,Standard_KMeans,Euclidean,Mean,,0.2811066469065263,3290.737330989358,0.22421253401565217,1.3911660530129388,265.8738351711866,56,61
Moons,300,2,2,0.8063635631705562,E_4_A4,E_4,A4,,0.09746800511549183,1540.9123972085656,0.35719207308630757,0.9109375633277285,397.2330949055881,56,61
Circles,300,2,2,0.6135093394432848,E_FD_R_A4,E_FD_R,A4,,0.18925020971548212,1505.6307087386242,0.2238628948446339,inf,391.8704052251328,56,61
Wholesale_Customers,440,6,3,0.9417680683705263,E_FD_R_A2_p0.1,E_FD_R,A2,0.1,0.1381635599129345,6133.05051302103,0.4614942270124431,1.7818551790825716,384.24701503488615,44,61
Heart_Failure,299,12,2,0.3006798942853943,E_FD_R_A2_p4.0,E_FD_R,A2,4.0,0.0,inf,0.11193209550559206,inf,inf,56,61
Absenteeism,200,21,4,0.42,E_LK_A4,E_LK,A4,,0.0,inf,0.13854026254127577,inf,inf,56,61
