dataset,E,A,p,silhouette_score,davies_bouldin_score,calinski_harabasz_score,n_clusters_found,method,inertia,error,combination
Absenteeism,E_3,A3,,0.0,inf,0.0,1,Fuzzy_Equivalence,,,E_3_A3
Absenteeism,E_3,A4,,0.42,0.0,inf,2,Fuzzy_Equivalence,,,E_3_A4
Absenteeism,E_4,A2,0.1,0.041271655874179525,1.9087667327418352,45.74100595926338,4,Fuzzy_Equivalence,,,E_4_A2_p0.1
Absenteeism,E_4,A2,1.0,0.14577390180278538,1.4110750308716524,63.9447250839599,4,Fuzzy_Equivalence,,,E_4_A2_p1.0
Absenteeism,E_4,A2,4.0,0.10053184157278246,1.602743313126322,92.00889768890347,4,Fuzzy_Equivalence,,,E_4_A2_p4.0
Absenteeism,E_4,A3,,0.0,inf,0.0,1,Fuzzy_Equivalence,,,E_4_A3
Absenteeism,E_4,A4,,0.42,0.0,inf,2,Fuzzy_Equivalence,,,E_4_A4
Absenteeism,E_5,A2,0.1,-0.001106195794440118,1.93917972546975,56.25519984681705,4,Fuzzy_Equivalence,,,E_5_A2_p0.1
Absenteeism,E_5,A2,1.0,0.07777269109482579,1.6689561405511166,78.3107497675073,4,Fuzzy_Equivalence,,,E_5_A2_p1.0
Absenteeism,E_5,A2,4.0,-0.010628610462614643,1.5750103518595464,92.1544390756474,4,Fuzzy_Equivalence,,,E_5_A2_p4.0
Absenteeism,E_5,A3,,0.0,inf,0.0,1,Fuzzy_Equivalence,,,E_5_A3
Absenteeism,E_5,A4,,0.42,0.0,inf,2,Fuzzy_Equivalence,,,E_5_A4
Absenteeism,E_6,A2,0.1,0.13788517249390525,1.3543597392967177,58.99279962340002,4,Fuzzy_Equivalence,,,E_6_A2_p0.1
Absenteeism,E_6,A2,1.0,0.11244303708820615,1.342935036940499,84.18048663799453,4,Fuzzy_Equivalence,,,E_6_A2_p1.0
Absenteeism,E_6,A2,4.0,0.013779136487055333,1.290660822271096,92.53843509327551,4,Fuzzy_Equivalence,,,E_6_A2_p4.0
Absenteeism,E_6,A3,,0.01682803044086436,1.8277261466492989,62.65005837485251,4,Fuzzy_Equivalence,,,E_6_A3
Absenteeism,E_6,A4,,0.42,0.0,inf,2,Fuzzy_Equivalence,,,E_6_A4
